index,debut,pid,src,group,suffix,tag,order
1,2018/03/25,pm1,,Bulbasaur,,,
2,2018/03/25,pm2,,Bulbasaur,,,
3,2018/03/25,pm3,,Bulbasaur,(Male),Gender=♂,
4,2018/03/25,pm3.g2,,Bulbasaur,(Female),Gender=♀,
3,2018/03/25,pm3.fMEGA,,Bulbasaur,(Mega),,
5,2018/03/25,pm3.fGIGANTAMAX,,Bulbasaur,(G-Max),,
6,2018/05/19,pm4,,Charmander,,,
7,2018/05/19,pm5,,Charmander,,,
8,2018/05/19,pm6,,Charmander,,,
8,2018/05/19,pm6.fMEGA,https://raw.githubusercontent.com/PokeMiners/pogo_assets/refs/heads/master/Images/Pokemon%20-%20256x256/Addressable%20Assets/pm6.fMEGA_X.s.icon.png,Charmander,(Mega X),,
8,2018/05/19,pm6.fMEGA,https://raw.githubusercontent.com/PokeMiners/pogo_assets/refs/heads/master/Images/Pokemon%20-%20256x256/Addressable%20Assets/pm6.fMEGA_Y.s.icon.png,Charmander,(Mega Y),,
9,2018/05/19,pm6.fGIGANTAMAX,,Charmander,(G-Max),,
10,2018/07/08,pm7,,Squirtle,,,
11,2018/07/08,pm8,,Squirtle,,,
12,2018/07/08,pm9,,Squirtle,,,
12,2018/07/08,pm9.fMEGA,,Squirtle,(Mega),,
13,2018/05/19,pm9.fGIGANTAMAX,,Squirtle,(G-Max),,
14,2018/11/01,pm10,,Caterpie,,,
15,2018/11/01,pm11,,Caterpie,,,
16,2018/11/01,pm12,,Caterpie,(Male),Gender=♂,
17,2018/11/01,pm12.g2,,Caterpie,(Female),Gender=♀,
18,2018/11/01,pm12.fGIGANTAMAX,,Caterpie,(G-Max),,
19,2020/06/19,pm13,,Weedle,,,
20,2020/06/19,pm14,,Weedle,,,
21,2020/06/19,pm15,,Weedle,,,
21,2020/06/19,pm15.fMEGA,,Weedle,(Mega),,
22,2019/02/26,pm16,,Pidgey,,,
23,2019/02/26,pm17,,Pidgey,,,
24,2019/02/26,pm18,,Pidgey,,,
